policy_id,side,observation_date,available_at,earliest_tradable_open,entry_date,exit_date,fee_share,transaction_density,fee_share_z,transaction_density_z,composite,source_lag_days,fee_reference_count,density_reference_count
BFC-3,1,2022-07-18 00:00:00,2022-07-19 05:39:54,2022-07-19 05:40:00,2022-07-19 05:45:00,2022-07-22 05:45:00,-3.5670439228889026,7.573323337661002,1.7604213921102843,0.8062824767794294,2.163562630499999,1.2360416666666667,180,180
BFC-3,1,2022-09-02 00:00:00,2022-09-03 06:30:07,2022-09-03 06:35:00,2022-09-03 06:40:00,2022-09-06 06:40:00,-3.77275030762091,7.647334733484234,1.1255767795487657,1.3697072659465013,1.8104304125220163,1.2709143518518518,180,180
BFC-3,1,2022-09-16 00:00:00,2022-09-17 05:57:17,2022-09-17 06:00:00,2022-09-17 06:05:00,2022-09-20 06:05:00,-3.7103091245572393,7.617667389468546,1.2317446632242097,1.0885746051577123,1.7760319658030659,1.248113425925926,180,180
BFC-3,1,2022-10-25 00:00:00,2022-10-26 05:07:59,2022-10-26 05:10:00,2022-10-26 05:15:00,2022-10-29 05:15:00,-3.7763096294878156,7.632730688505492,1.024593378088323,1.2559952902110163,1.652591023193831,1.2138773148148148,180,180
BFC-3,1,2022-11-04 00:00:00,2022-11-05 05:52:17,2022-11-05 05:55:00,2022-11-05 06:00:00,2022-11-08 06:00:00,-3.722036445705673,7.687858602448198,1.1364737226415487,1.6492073087654222,1.9610773770242598,1.2446412037037038,180,180
BFC-3,1,2022-11-09 00:00:00,2022-11-10 05:45:32,2022-11-10 05:50:00,2022-11-10 05:55:00,2022-11-13 05:55:00,-3.589243919036433,7.586255445377883,1.5311455948706274,0.904814804866541,1.983552997303898,1.2399537037037036,180,180
BFC-3,1,2022-11-14 00:00:00,2022-11-15 06:08:39,2022-11-15 06:10:00,2022-11-15 06:15:00,2022-11-18 06:15:00,-3.4981510429890337,7.596249374289435,1.800926718626933,0.9728954824403458,2.287374459847106,1.2560069444444444,180,180
BFC-3,1,2022-11-21 00:00:00,2022-11-22 05:59:58,2022-11-22 06:00:00,2022-11-22 06:05:00,2022-11-25 06:05:00,-3.4637130191827583,7.6427806402872935,1.6871629900246248,1.3323496059510467,2.353337793000148,1.249976851851852,180,180
BFC-3,1,2022-11-29 00:00:00,2022-11-30 05:19:04,2022-11-30 05:20:00,2022-11-30 05:25:00,2022-12-03 05:25:00,-3.5538341136747493,7.637977596020282,1.3153036189452143,1.2609732459195917,1.9457902419050102,1.2215740740740741,180,180
BFC-3,1,2022-12-24 00:00:00,2022-12-25 04:53:51,2022-12-25 04:55:00,2022-12-25 05:00:00,2022-12-28 05:00:00,-3.467557264850554,7.79224685820621,1.4877485830395496,2.3719637136079323,2.6737304398435158,1.2040625,180,180
