policy_id,side,observation_date,available_at,earliest_tradable_open,entry_date,exit_date,HashRate,BlkCnt,hash_change,hash_change_z,prior_hash_change_z,recent_stress_min_z,cadence_short,cadence_reference,cadence_gap,source_lag_days,hash_reference_count
MCR-7,1,2022-04-06 00:00:00,2022-04-07 05:11:41,2022-04-07 05:15:00,2022-04-07 05:20:00,2022-04-14 05:20:00,213161283.963688,150,0.14585323315618126,1.1353277470276273,-0.09533142969116214,-1.4875715102347986,5.016654689847932,4.991341173435409,0.02531351641252222,1.2164467592592592,180
MCR-7,1,2022-04-17 00:00:00,2022-04-18 05:37:54,2022-04-18 05:40:00,2022-04-18 05:45:00,2022-04-25 05:45:00,231514551.652141,165,0.15158652574777065,1.1980478825790104,-1.3861770451948967,-1.3861770451948967,5.0221267689594855,4.978591714541434,0.04353505441805172,1.2346527777777778,180
MCR-7,1,2022-04-29 00:00:00,2022-04-30 05:17:04,2022-04-30 05:20:00,2022-04-30 05:25:00,2022-05-07 05:25:00,222163205.91889,150,0.15944023646367356,1.2365295153437779,-1.7415452062329997,-2.0526819156569083,5.009745217910963,4.982186392500037,0.02755882541092536,1.2201851851851853,180
MCR-7,1,2022-05-10 00:00:00,2022-05-11 05:37:43,2022-05-11 05:40:00,2022-05-11 05:45:00,2022-05-18 05:45:00,227185770.435268,153,0.02235578118917303,0.08110799914262051,-0.3696035025347097,-1.7415452062329997,5.039096051743643,5.006983569736983,0.03211248200666006,1.234525462962963,180
MCR-7,1,2022-05-31 00:00:00,2022-06-01 04:51:06,2022-06-01 04:55:00,2022-06-01 05:00:00,2022-06-08 05:00:00,216986411.579269,146,0.1518321089214112,1.1487667396746788,-0.7815957603246558,-1.780374367076187,5.008168510022475,4.967945824344705,0.04022268567777054,1.2021527777777778,180
MCR-7,1,2022-06-07 00:00:00,2022-06-08 04:54:34,2022-06-08 04:55:00,2022-06-08 05:00:00,2022-06-15 05:00:00,240765744.091226,162,0.10398971242815591,0.8333137076106909,-0.28016729506333915,-1.780374367076187,5.027279417012325,4.949739447253945,0.07753996975838007,1.2045601851851853,180
MCR-7,1,2022-06-23 00:00:00,2022-06-24 05:11:23,2022-06-24 05:15:00,2022-06-24 05:20:00,2022-07-01 05:20:00,223431041.438622,152,0.22092687500857622,1.7831497488840349,-2.147267688629495,-2.6610052439677876,4.964776073101401,4.951557833580809,0.013218239520591979,1.216238425925926,180
MCR-7,1,2022-07-08 00:00:00,2022-07-09 04:47:11,2022-07-09 04:50:00,2022-07-09 04:55:00,2022-07-16 04:55:00,214480636.867938,148,0.08515735659019086,0.6621815090596944,-0.8644322583816799,-1.8379426786553454,4.965881721857005,4.951916174824509,0.013965547032495529,1.1994328703703703,180
MCR-7,1,2022-07-24 00:00:00,2022-07-25 05:31:42,2022-07-25 05:35:00,2022-07-25 05:40:00,2022-08-01 05:40:00,216126988.578998,157,0.18457739335079637,1.5224893668456612,-0.10489411031062448,-1.9745509633373242,4.992000110116103,4.9301343321586275,0.06186577795747539,1.2303472222222223,180
MCR-7,1,2022-08-05 00:00:00,2022-08-06 05:02:51,2022-08-06 05:05:00,2022-08-06 05:10:00,2022-08-13 05:10:00,210085555.711822,150,0.04428789546244971,0.3600186103411123,-0.48654997581031567,-1.508511927803328,4.9567236530344,4.94224328459836,0.014480368436039726,1.2103125,180
MCR-7,1,2022-08-28 00:00:00,2022-08-29 05:26:59,2022-08-29 05:30:00,2022-08-29 05:35:00,2022-09-05 05:35:00,226907929.422015,161,0.09779774615539694,0.825284741518556,-0.2899336409455935,-1.5556639386836633,5.076207367481063,4.995800411484816,0.08040695599624659,1.2270717592592593,180
MCR-7,1,2022-09-26 00:00:00,2022-09-27 06:08:36,2022-09-27 06:10:00,2022-09-27 06:15:00,2022-10-04 06:15:00,238947520.42008,150,0.14310084437913773,1.2042524256858882,-0.43406504462061635,-1.3615645836414794,4.994891500861109,4.984620389796352,0.010271111064756866,1.2559722222222223,180
MCR-7,1,2022-10-04 00:00:00,2022-10-05 05:00:51,2022-10-05 05:05:00,2022-10-05 05:10:00,2022-10-12 05:10:00,254107431.785741,163,0.21233608605012577,1.7489688266987538,-0.021652382950535277,-1.4508543096033149,5.062316202856233,4.9947015974887945,0.06761460536743868,1.208923611111111,180
MCR-7,1,2022-11-08 00:00:00,2022-11-09 05:09:22,2022-11-09 05:10:00,2022-11-09 05:15:00,2022-11-16 05:15:00,297875785.747808,163,0.12193999871501404,0.9881267164105884,-1.6444548180039094,-2.164265949114512,4.994514808736962,4.984395680411126,0.010119128325836613,1.2148379629629629,180
MCR-7,1,2022-11-20 00:00:00,2022-11-21 05:47:11,2022-11-21 05:50:00,2022-11-21 05:55:00,2022-11-28 05:55:00,272422405.822295,149,0.14461504725866803,1.161725859434724,-1.156605888022131,-1.6444548180039094,4.976284275284962,4.969479812052573,0.006804463232388258,1.241099537037037,180
MCR-7,1,2022-12-01 00:00:00,2022-12-02 05:23:24,2022-12-02 05:25:00,2022-12-02 05:30:00,2022-12-09 05:30:00,281033310.523537,153,0.1706255207516918,1.3946711038600044,-0.21882382034140593,-2.5349355216131526,4.944296309916931,4.932816409908472,0.011479900008458443,1.2245833333333334,180
MCR-7,1,2023-01-05 00:00:00,2023-01-06 05:23:09,2023-01-06 05:25:00,2023-01-06 05:30:00,2023-01-13 05:30:00,266083690.582248,157,0.07089850957030919,0.4778157569047896,-1.64551674607228,-3.5878108808869507,5.018681012673948,4.9639879888720495,0.054693023801898555,1.2244097222222223,180
MCR-7,1,2023-01-14 00:00:00,2023-01-15 05:33:42,2023-01-15 05:35:00,2023-01-15 05:40:00,2023-01-22 05:40:00,289810898.068948,171,0.1047109582448762,0.743782476711971,-1.093684963380722,-1.64551674607228,5.075949198512606,4.972619918405248,0.1033292801073582,1.2317361111111111,180
MCR-7,1,2023-01-23 00:00:00,2023-01-24 06:32:36,2023-01-24 06:35:00,2023-01-24 06:40:00,2023-01-31 06:40:00,295243790.102985,158,0.07216244748821765,0.49466279402354724,-0.06703969035657568,-1.093684963380722,5.002376184999698,4.996293235409647,0.006082949590051179,1.2726388888888889,180
MCR-7,1,2023-03-01 00:00:00,2023-03-02 06:04:40,2023-03-02 06:05:00,2023-03-02 06:10:00,2023-03-09 06:10:00,363837095.960022,170,0.2890436589953431,2.166806267610827,-0.8846298153690708,-2.942714783144392,4.999140595162564,4.995992976266629,0.003147618895935622,1.2532407407407407,180
MCR-7,1,2023-03-22 00:00:00,2023-03-23 04:59:50,2023-03-23 05:00:00,2023-03-23 05:05:00,2023-03-30 05:05:00,344229889.836681,159,0.07847162172566513,0.484616419375325,-0.14480836474875225,-1.9507198616020762,5.027530182351478,4.998457768500249,0.02907241385122905,1.2082175925925926,180
MCR-7,1,2023-04-06 00:00:00,2023-04-07 05:48:26,2023-04-07 05:50:00,2023-04-07 05:55:00,2023-04-14 05:55:00,375586794.88083,160,0.039798076464908405,0.21861225063543965,-0.4980989705475487,-1.141657807812894,5.0324146945323,5.001722872659278,0.030691821873022107,1.2419675925925926,180
MCR-7,1,2023-04-23 00:00:00,2023-04-24 05:29:00,2023-04-24 05:30:00,2023-04-24 05:35:00,2023-05-01 05:35:00,355961503.470588,147,0.18722472920791233,1.2995908632720858,-0.38737936411389245,-1.2988126393251844,4.990370878381589,4.9808427437772655,0.009528134604323668,1.2284722222222222,180
MCR-7,1,2023-05-01 00:00:00,2023-05-02 05:25:47,2023-05-02 05:30:00,2023-05-02 05:35:00,2023-05-09 05:35:00,440714244.218665,182,0.2552467941734946,1.824804879995939,-0.012474252368266546,-2.0494404739964764,5.040399962223012,4.964122339001307,0.0762776232217055,1.226238425925926,180
MCR-7,1,2023-05-09 00:00:00,2023-05-10 04:21:46,2023-05-10 04:25:00,2023-05-10 04:30:00,2023-05-17 04:30:00,360341575.838989,151,0.14284999756465666,0.9959075701901665,-2.295322038701823,-2.295322038701823,4.957244898591248,4.956436355061573,0.0008085435296747434,1.1817824074074075,180
MCR-7,1,2023-05-19 00:00:00,2023-05-20 05:29:38,2023-05-20 05:30:00,2023-05-20 05:35:00,2023-05-27 05:35:00,369469366.943696,150,0.09353537146954949,0.5849248905224697,-0.4099682094373794,-2.295322038701823,5.01152299990275,4.9716375176492384,0.03988548225351174,1.228912037037037,180
MCR-7,1,2023-06-26 00:00:00,2023-06-27 04:10:37,2023-06-27 04:15:00,2023-06-27 04:20:00,2023-07-04 04:20:00,379943751.658412,146,0.02777956632972689,0.0704361370942459,-0.03453877602734208,-1.7244756676920694,4.999217054936369,4.979188232291544,0.020028822644825084,1.174039351851852,180
MCR-7,1,2023-07-05 00:00:00,2023-07-06 04:07:14,2023-07-06 04:10:00,2023-07-06 04:15:00,2023-07-13 04:15:00,392751304.866836,156,0.33795000246357176,2.7511670614289523,-0.3175820228038847,-1.7244756676920694,4.972865607818611,4.965245031184845,0.007620576633765808,1.1716898148148147,180
MCR-7,1,2023-07-18 00:00:00,2023-07-19 04:46:57,2023-07-19 04:50:00,2023-07-19 04:55:00,2023-07-26 04:55:00,434150109.240989,162,0.24479497434565545,1.8803932350849422,-0.5921995028336127,-1.6664628403188786,5.014558779295894,4.965638164492892,0.04892061480300125,1.1992708333333333,180
MCR-7,1,2023-07-30 00:00:00,2023-07-31 05:10:00,2023-07-31 05:10:00,2023-07-31 05:15:00,2023-08-07 05:15:00,437010757.574051,168,0.10373121525880791,0.756924907407254,-0.43698304513560354,-1.7819550365968808,4.982802774866311,4.971242564992653,0.011560209873658245,1.2152777777777777,180
MCR-7,1,2023-08-07 00:00:00,2023-08-08 04:31:32,2023-08-08 04:35:00,2023-08-08 04:40:00,2023-08-15 04:40:00,379783157.699031,146,0.03484672902180108,0.18498629655706747,-0.30412682440911804,-1.3875208533679904,5.040141883982055,4.9672950773164475,0.07284680666560739,1.188564814814815,180
MCR-7,1,2023-08-14 00:00:00,2023-08-15 04:40:43,2023-08-15 04:45:00,2023-08-15 04:50:00,2023-08-22 04:50:00,445348917.307732,171,0.1592576065600113,1.2009613103976007,-1.640559494287927,-1.640559494287927,5.054977382452615,4.9621545384760894,0.09282284397652596,1.1949421296296296,180
MCR-7,1,2023-09-11 00:00:00,2023-09-12 05:32:42,2023-09-12 05:35:00,2023-09-12 05:40:00,2023-09-19 05:40:00,427999091.541552,159,0.0381496911936523,0.25153136271442655,-0.8603388356662991,-2.2648422875458882,5.025538875271297,4.976871755712517,0.04866711955878067,1.2310416666666666,180
MCR-7,1,2023-09-19 00:00:00,2023-09-20 06:30:31,2023-09-20 06:35:00,2023-09-20 06:40:00,2023-09-27 06:40:00,386415687.751435,139,0.017936939728610213,0.06187749004930195,-0.2366914188053055,-2.0434243696966536,4.996092082108563,4.980306560375747,0.015785521732815333,1.2711921296296296,180
MCR-7,1,2023-09-27 00:00:00,2023-09-28 06:44:03,2023-09-28 06:45:00,2023-09-28 06:50:00,2023-10-05 06:50:00,445792740.899439,157,0.07263918458229668,0.529693313550099,-0.05024598677312371,-2.684620769136409,4.981878144501645,4.980388712908236,0.0014894315934093072,1.2805902777777778,180
MCR-7,1,2023-10-11 00:00:00,2023-10-12 06:42:47,2023-10-12 06:45:00,2023-10-12 06:50:00,2023-10-19 06:50:00,455914820.288637,160,0.19997649347542534,1.51106778781774,-0.1553556814702166,-1.4856326049546074,5.070875385905249,5.009841011104374,0.061034374800875035,1.2797106481481482,180
MCR-7,1,2023-10-23 00:00:00,2023-10-24 05:58:31,2023-10-24 06:00:00,2023-10-24 06:05:00,2023-10-31 06:05:00,476314711.129855,157,0.13280359331203329,0.9813885343667543,-0.26977059856532826,-1.3248435102468108,5.032439673612333,5.008811336523878,0.023628337088455353,1.2489699074074074,180
MCR-7,1,2023-10-30 00:00:00,2023-10-31 06:35:03,2023-10-31 06:40:00,2023-10-31 06:45:00,2023-11-07 06:45:00,482896145.817568,156,0.013722817922730002,0.030662467060540755,-0.9664126502027872,-2.105968726293106,5.015003582770497,5.007209582473804,0.007794000296692971,1.2743402777777777,180
MCR-7,1,2023-11-10 00:00:00,2023-11-11 06:28:10,2023-11-11 06:30:00,2023-11-11 06:35:00,2023-11-18 06:35:00,478181704.870378,154,0.12429771722761984,0.9251997014589941,-0.1325244544693436,-1.7491067455411626,5.001247846206332,4.9969146470155446,0.00433319919078734,1.2695601851851852,180
MCR-7,1,2023-11-19 00:00:00,2023-11-20 07:32:18,2023-11-20 07:35:00,2023-11-20 07:40:00,2023-11-27 07:40:00,546582308.683555,170,0.07589567009475928,0.5371958330405373,-0.3803445757849975,-1.7491067455411626,5.050126679030659,4.988943825745502,0.061182853285156824,1.3140972222222222,180
MCR-7,1,2023-12-03 00:00:00,2023-12-04 06:27:24,2023-12-04 06:30:00,2023-12-04 06:35:00,2023-12-11 06:35:00,557403011.445151,165,0.12233884818726182,0.8902223302580882,-1.4940592814840357,-1.6509303081288242,5.026677091760749,4.993140869868515,0.033536221892233264,1.2690277777777779,180
MCR-7,1,2023-12-11 00:00:00,2023-12-12 07:05:00,2023-12-12 07:05:00,2023-12-12 07:10:00,2023-12-19 07:10:00,528635574.132489,158,0.009531134023077925,0.020093274843253336,-1.4101991678043564,-1.8532905469410368,5.02016108699486,4.985431719109414,0.034729367885446116,1.2951388888888888,180
MCR-7,1,2023-12-22 00:00:00,2023-12-23 04:06:08,2023-12-23 04:10:00,2023-12-23 04:15:00,2023-12-30 04:15:00,562093524.606792,168,0.030213785380020397,0.12073634530312774,-0.11618406461998891,-1.8532905469410368,5.028101447844056,4.990759474108591,0.03734197373546522,1.170925925925926,180
