DAY,GPRD,GPRD_ACT,GPRD_THREAT
19850305,137.30850219726562,102.66439056396484,171.2644805908203
19850306,179.05772399902344,178.50656127929688,148.89210510253906
19850307,132.50270080566406,108.78399658203125,129.62371826171875
19850308,91.80326080322266,106.77412414550781,63.61440658569336
19850309,90.13789367675781,67.39533233642578,112.42872619628906
19850310,119.37181091308594,104.12882232666016,124.07674407958984
19850311,129.7350311279297,155.2028350830078,115.0706558227539
19850312,232.9149169921875,343.99700927734375,143.46372985839844
19850313,183.1834716796875,228.27450561523438,177.7099151611328
19850314,177.458984375,221.14093017578125,122.96892547607422
19850315,138.34390258789062,76.62114715576172,191.7288055419922
19850316,194.85691833496094,107.92063903808594,252.04611206054688
19850317,42.651084899902344,28.346534729003906,47.287620544433594
19850318,124.33229064941406,123.9495849609375,132.9251251220703
19850319,139.11045837402344,138.6822509765625,144.59336853027344
19850320,136.23114013671875,128.663818359375,143.0911102294922
19850321,118.58834075927734,110.34176635742188,157.77587890625
19850322,102.77656555175781,110.34176635742188,78.887939453125
19850323,98.71890258789062,109.35003662109375,91.20873260498047
19850324,79.82090759277344,39.78760528564453,132.74716186523438
19850325,75.62940216064453,120.63455963134766,37.73292922973633
19850326,95.38807678222656,103.73941040039062,72.10742950439453
19850327,135.93690490722656,71.32551574707031,166.57907104492188
19850328,145.02024841308594,136.96470642089844,165.016357421875
19850329,86.9967269897461,26.685829162597656,122.42239379882812
19850330,142.69522094726562,142.2559814453125,152.55712890625
19850331,70.31393432617188,46.73167037963867,77.95765686035156
19850401,90.26069641113281,89.98286437988281,90.06552124023438
19850402,79.05889129638672,94.57865142822266,92.03592681884766
19850403,88.79047393798828,68.09012603759766,124.94657135009766
19850404,155.718994140625,127.0142822265625,188.34214782714844
19850405,95.55484008789062,95.26071166992188,79.45684051513672
19850406,179.05772399902344,111.56658935546875,204.7266387939453
19850407,57.538394927978516,81.94469451904297,41.00998306274414
19850408,149.37307739257812,70.07684326171875,204.57852172851562
19850409,96.71730041503906,96.41960144042969,80.42346954345703
19850410,92.4437484741211,107.5190658569336,76.869873046875
19850411,115.97611236572266,101.16673278808594,120.54721069335938
19850412,81.25166320800781,37.385337829589844,103.94354248046875
19850413,29.228540420532227,38.8514289855957,16.202964782714844
19850414,53.42850875854492,53.26405334472656,44.4274787902832
19850415,45.75369644165039,36.490291595458984,45.65475845336914
19850416,135.51412963867188,120.08622741699219,150.24566650390625
19850417,91.42967987060547,112.1824722290039,70.1784439086914
19850418,77.52818298339844,98.3685073852539,58.60646057128906
19850419,37.08098220825195,36.96684265136719,30.83399772644043
19850420,105.83283996582031,63.30424118041992,123.20464324951172
19850421,38.25135803222656,61.01378631591797,25.445762634277344
19850422,50.962581634521484,84.67618560791016,28.25132179260254
19850423,135.0447235107422,95.03227233886719,145.321533203125
