document_class,meeting_date,release_date,last_update_date,encoding,source_eligible,official_url,index_url
fomc_statement,2015-09-17,2015-09-17,2015-09-17,utf-8,true,https://www.federalreserve.gov/newsevents/pressreleases/monetary20150917a.htm,https://www.federalreserve.gov/monetarypolicy/fomchistorical2015.htm
fomc_minutes,2015-09-17,2015-10-08,2015-10-08,utf-8,true,https://www.federalreserve.gov/monetarypolicy/fomcminutes20150917.htm,https://www.federalreserve.gov/monetarypolicy/fomchistorical2015.htm
fomc_statement,2015-10-28,2015-10-28,2015-10-28,utf-8,true,https://www.federalreserve.gov/newsevents/pressreleases/monetary20151028a.htm,https://www.federalreserve.gov/monetarypolicy/fomchistorical2015.htm
fomc_minutes,2015-10-28,2015-11-18,2015-11-18,utf-8,true,https://www.federalreserve.gov/monetarypolicy/fomcminutes20151028.htm,https://www.federalreserve.gov/monetarypolicy/fomchistorical2015.htm
fomc_statement,2015-12-16,2015-12-16,2015-12-16,utf-8,true,https://www.federalreserve.gov/newsevents/pressreleases/monetary20151216a.htm,https://www.federalreserve.gov/monetarypolicy/fomchistorical2015.htm
fomc_minutes,2015-12-16,2016-01-06,2016-01-06,utf-8,true,https://www.federalreserve.gov/monetarypolicy/fomcminutes20151216.htm,https://www.federalreserve.gov/monetarypolicy/fomchistorical2015.htm
fomc_statement,2016-01-27,2016-01-27,2016-01-27,utf-8,true,https://www.federalreserve.gov/newsevents/pressreleases/monetary20160127a.htm,https://www.federalreserve.gov/monetarypolicy/fomchistorical2016.htm
fomc_minutes,2016-01-27,2016-02-17,2016-02-17,utf-8,true,https://www.federalreserve.gov/monetarypolicy/fomcminutes20160127.htm,https://www.federalreserve.gov/monetarypolicy/fomchistorical2016.htm
fomc_statement,2016-03-16,2016-03-16,2016-03-16,utf-8,true,https://www.federalreserve.gov/newsevents/pressreleases/monetary20160316a.htm,https://www.federalreserve.gov/monetarypolicy/fomchistorical2016.htm
fomc_minutes,2016-03-16,2016-04-06,2016-04-06,utf-8,true,https://www.federalreserve.gov/monetarypolicy/fomcminutes20160316.htm,https://www.federalreserve.gov/monetarypolicy/fomchistorical2016.htm
